cell_type,n_cells,chi_squared,f_statistic,p_value,peak_scale_um,peak_vmr_ratio,is_significant
01 IT-ET Glut,441026,18940.01046231659,1224.014281578283,1.1102230246251565e-16,992.7085823548822,1.1995993093204735,True
02 NP-CT-L6b Glut,131873,84137.43516880332,5437.453293221984,1.1102230246251565e-16,992.7085823548822,2.0679780067563946,True
03 OB-CR Glut,133,2490.1608389272787,160.92876169938197,1.1102230246251565e-16,992.7085823548822,2.998896781498297,True
05 OB-IMN GABA,354,252174.49815412558,16296.991377307435,1.1102230246251565e-16,992.7085823548822,15.785564823221359,True
06 CTX-CGE GABA,26330,574.3150744958102,37.11560005245032,1.1102230246251565e-16,222.85294705925926,1.0416496280028142,True
07 CTX-MGE GABA,56619,1931.8996149154393,124.85065538569167,1.1102230246251565e-16,992.7085823548822,1.2293825727218872,True
09 CNU-LGE GABA,225,9718.45705456541,628.0635511453836,1.1102230246251565e-16,992.7085823548822,6.248208292059961,True
13 CNU-HYa Glut,177,18574.845510335814,1200.4151860421105,1.1102230246251565e-16,992.7085823548822,11.117650907636875,True
19 MB Glut,239,70214.78689409405,4537.690309482268,1.1102230246251565e-16,992.7085823548822,15.508901505344888,True
20 MB GABA,413,203104.48696560157,13125.800178049081,1.1102230246251565e-16,992.7085823548822,21.809534802560293,True
30 Astro-Epen,103517,2126.707321923966,137.44026910392978,1.1102230246251565e-16,40.51871764713805,0.9758097911691826,True
31 OPC-Oligo,55061,678.3720637796825,43.840371468754995,1.1102230246251565e-16,992.7085823548822,1.1483777006002969,True
33 Vascular,104163,1719.8746689279628,111.14836295792956,1.1102230246251565e-16,40.51871764713805,1.0287992933271566,True
34 Immune,15228,177.73373393321614,11.486193689561588,3.0838148701306523e-09,40.51871764713805,0.9566136223748984,True
08 CNU-MGE GABA,848,94.11218708767859,6.082080117911201,8.56216766953466e-06,830.63371176633,1.1932209188022063,True
